ego,alter,network_level,land,communication,ecology,education,mapping,operations,air_quality,mechanical_treatments,prescribed_fire,restoration,strength,satisfaction,quality,fire_spread,operational_capacity,relevance
15,20,SEKI - Undefined,0,1,0,1,0,0,1,0,1,0,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Slightly relevant
15,30,SEKI - Undefined,0,0,0,0,0,0,0,0,1,0,Collaboration,Somewhat satisfied,Somewhat useful,NA,NA,Not relevant at all
15,24,SEKI - Undefined,0,1,0,1,1,1,1,1,1,1,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Extremely relevant
15,25,SEKI - Undefined,0,1,0,1,0,1,0,0,1,0,Collaboration,Extremely satisfied,Somewhat useful,NA,NA,Extremely relevant
15,26,SEKI - Undefined,0,1,0,1,0,1,0,0,1,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Extremely relevant
16,27,SEKI - Defined,1,0,0,0,1,0,0,0,0,0,Communication,Extremely satisfied,Extremely good,Extreme,Somewhat confident,Extremely relevant
16,2,SEKI - Defined,1,0,0,0,1,0,0,0,0,0,Communication,Extremely satisfied,Extremely good,Extreme,Somewhat confident,Extremely relevant
16,37,SEKI - Defined,1,0,0,0,1,0,0,0,0,0,Communication,Extremely satisfied,Extremely good,High,Somewhat confident,Extremely relevant
16,20,SEKI - Undefined,0,0,0,0,0,0,1,0,1,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Slightly relevant
16,21,SEKI - Undefined,0,0,0,0,0,0,1,0,1,0,Collaboration,Extremely satisfied,Somewhat useful,NA,NA,Slightly relevant
16,7,SEKI - Undefined,0,0,0,0,0,0,0,0,1,0,Communication,Extremely satisfied,Somewhat useful,NA,NA,Slightly relevant
16,32,SEKI - Undefined,0,0,0,0,0,0,1,0,0,0,Communication,Extremely satisfied,Somewhat useful,NA,NA,Slightly relevant
16,22,SEKI - Undefined,0,0,0,0,0,0,1,0,1,0,Communication,Extremely satisfied,Extremely useful,NA,NA,Slightly relevant
17,27,SEKI - Defined,1,0,0,0,0,1,0,0,0,0,Communication,Somewhat satisfied,Somewhat good,Low,Somewhat confident,Slightly relevant
17,5,SEKI - Defined,1,1,1,0,0,1,1,0,0,0,Communication,Extremely satisfied,Somewhat good,Moderate,Somewhat confident,Somewhat relevant
17,12,SEKI - Defined,1,1,0,0,0,1,0,0,0,0,Communication,Extremely satisfied,Somewhat good,Low,Completely confident,Slightly relevant
17,4,SEKI - Defined,1,1,0,0,0,1,1,0,0,0,Communication,Extremely satisfied,Somewhat good,Moderate,Somewhat confident,Somewhat relevant
17,13,SEKI - Defined,1,1,0,0,0,1,1,0,0,0,Communication,Extremely satisfied,Somewhat good,Moderate,Somewhat confident,Slightly relevant
17,33,SEKI - Defined,1,1,1,0,0,1,0,0,1,0,Collaboration,Somewhat satisfied,Somewhat good,Low,Somewhat confident,Slightly relevant
17,34,SEKI - Defined,1,1,1,0,0,1,0,0,1,0,Collaboration,Somewhat satisfied,Somewhat good,High,Somewhat confident,Extremely relevant
17,36,SEKI - Defined,1,1,0,0,0,1,0,0,0,0,Communication,Somewhat satisfied,Somewhat good,Low,Somewhat confident,Slightly relevant
17,18,SEKI - Defined,0,1,0,1,0,1,0,0,0,0,Collaboration,Extremely satisfied,Extremely good,Extreme,Not confident at all,Extremely relevant
17,20,SEKI - Undefined,0,1,0,1,0,0,0,0,0,0,Coordination,Extremely satisfied,Extremely useful,NA,NA,Extremely relevant
17,32,SEKI - Undefined,0,1,0,1,0,0,0,0,0,0,Communication,Extremely satisfied,Extremely useful,NA,NA,Not relevant at all
17,22,SEKI - Undefined,0,0,0,1,0,0,0,0,0,0,Coordination,Extremely satisfied,Somewhat useful,NA,NA,Not relevant at all
17,15,SEKI - Undefined,0,1,1,1,1,1,1,1,1,1,Coordination,Extremely satisfied,Extremely useful,NA,NA,Extremely relevant
17,25,SEKI - Undefined,0,1,0,1,0,0,0,0,0,0,Communication,Extremely satisfied,Somewhat useful,NA,NA,Somewhat relevant
17,26,SEKI - Undefined,0,1,0,1,0,0,0,0,0,0,Communication,Extremely satisfied,Somewhat useful,NA,NA,Somewhat relevant
18,19,SEKI - Defined,0,1,1,1,1,1,1,1,1,1,Collaboration,Somewhat satisfied,Somewhat good,Moderate,Somewhat confident,Extremely relevant
18,1,SEKI - Defined,0,1,0,0,0,1,1,0,0,0,Collaboration,Somewhat satisfied,Somewhat good,Moderate,Somewhat confident,Somewhat relevant
18,27,SEKI - Defined,0,1,0,0,0,1,1,0,0,0,Coordination,Somewhat satisfied,Somewhat good,Moderate,Somewhat confident,Extremely relevant
18,2,SEKI - Defined,0,1,0,0,0,1,1,0,0,0,Coordination,Somewhat satisfied,Somewhat good,Moderate,Somewhat confident,Extremely relevant
18,5,SEKI - Defined,0,1,0,0,0,1,1,0,0,0,Coordination,Somewhat satisfied,Somewhat good,Moderate,Somewhat confident,Somewhat relevant
18,4,SEKI - Defined,0,1,0,0,0,1,1,0,0,0,Coordination,Somewhat satisfied,Somewhat good,Moderate,Somewhat confident,Somewhat relevant
18,17,SEKI - Defined,0,1,0,0,0,1,1,0,0,0,Coordination,Somewhat satisfied,Somewhat good,Moderate,Somewhat confident,Somewhat relevant
18,34,SEKI - Defined,0,1,0,0,0,1,1,0,0,0,Coordination,Somewhat satisfied,Somewhat good,Moderate,Somewhat confident,Somewhat relevant
18,20,SEKI - Undefined,0,0,0,0,0,0,1,0,1,0,Coordination,Somewhat dissatisfied,Somewhat useful,NA,NA,Extremely relevant
18,21,SEKI - Undefined,0,0,0,0,0,0,0,1,0,1,Communication,Somewhat satisfied,Somewhat not useful,NA,NA,Somewhat relevant
18,32,SEKI - Undefined,0,0,0,1,0,0,0,1,1,0,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Slightly relevant
18,22,SEKI - Undefined,0,0,1,0,0,0,0,1,1,0,Communication,Somewhat dissatisfied,Somewhat useful,NA,NA,Slightly relevant
18,10,SEKI - Undefined,0,1,0,1,0,0,0,0,0,0,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Slightly relevant
18,23,SEKI - Undefined,0,0,0,0,0,0,0,0,0,1,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Slightly relevant
18,15,SEKI - Undefined,0,1,0,1,0,1,0,0,0,0,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
33,34,SEKI - Defined,1,1,1,0,0,1,0,0,1,0,Collaboration,Somewhat satisfied,Somewhat good,High,Somewhat confident,Extremely relevant
34,33,SEKI - Defined,1,1,1,0,0,1,0,0,1,0,Collaboration,Somewhat satisfied,Somewhat good,High,Somewhat confident,Extremely relevant
36,14,SEKI - Defined,0,1,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Extremely good,Extreme,Completely confident,Extremely relevant
